date,state,unemployment_rate,percent_error
2022-05-01,Puerto Rico,14.26037784401201,0.3
2022-05-01,Rhode Island,6.091595246003153,0.3
2022-05-01,South Carolina,5.241279491403547,0.1
2022-05-01,South Dakota,3.077944846110821,0.2
2022-05-01,Tennessee,5.218727269828323,0.1
2022-05-01,Texas,5.353659149887538,0.1
2022-05-01,Utah,3.4425955573227673,0.1
2022-05-01,Vermont,3.86873521459384,0.3
2022-05-01,Virginia,4.546599000524901,0.1
2022-05-01,Washington,5.1419958924566,0.1
2022-05-01,West Virginia,6.302017265081186,0.2
2022-05-01,Wisconsin,3.441013132592034,0.1
2022-05-01,Wyoming,4.066635658426798,0.3
2022-06-01,Alabama,5.299871708874145,0.2
2022-06-01,Alaska,6.656627769039626,0.3
2022-06-01,Arizona,5.475887918329852,0.1
2022-06-01,Arkansas,5.251202822239552,0.2
2022-06-01,California,6.5359381195643556,0.1
2022-06-01,Colorado,4.521609619934441,0.1
2022-06-01,Connecticut,6.059095246041396,0.2
2022-06-01,Delaware,5.532059109743847,0.3
2022-06-01,District of Columbia,7.061661646818577,0.4
2022-06-01,Florida,5.188365820534511,0.1
2022-06-01,Georgia,5.377885724245949,0.1
2022-06-01,Hawaii,5.310712350313252,0.2
2022-06-01,Idaho,3.8839650549181846,0.2
2022-06-01,Illinois,6.170977086031881,0.1
2022-06-01,Indiana,4.638003664516641,0.1
2022-06-01,Iowa,3.8391610107325063,0.1
2022-06-01,Kansas,4.06290940812604,0.1
2022-06-01,Kentucky,5.223623658436649,0.1
2022-06-01,Louisiana,6.777083677535753,0.2
2022-06-01,Maine,4.202590811612784,0.2
2022-06-01,Maryland,5.244983056980095,0.1
2022-06-01,Massachusetts,5.4070786053688975,0.1
2022-06-01,Michigan,6.174742219923869,0.1
2022-06-01,Minnesota,4.0280530479261945,0.1
2022-06-01,Mississippi,6.62124143349018,0.2
2022-06-01,Missouri,4.441417505419122,0.1
2022-06-01,Montana,3.9819114056015223,0.2
